Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Бабко,Клавдія,Федорівна,Жінка,16.03.1972,Ді-джей,село Хрустальний,"шосе Велика Арнаутська, буд. 7 кв. 376, Ізмаїл, 97081",+380 55 658-71-48,anitahutsuliak@example.com
Засенко,Софія,Тарасівна,Жінка,10.11.1997,Дипломат,село Сіверськ,"проспект Просвіти, буд. 184, Вишгород, 69455",+380 34 732 07 05,iaroslava31@example.org
Влох,Людмила,Романівна,Жінка,22.05.1940,Різноробочий,хутір Одеса,"площа Ланжеронівський узвіз, буд. 4 кв. 478, Зеленодольськ, 31734",193 61 27,arkadiiiurchyshyn@example.com
Бандура,Веніямин,Володимирович,Чоловік,22.11.1951,Електрослюсар,село Берестин,"площа Строганов міст, буд. 382, Міусинськ, 81102",337-99-68,petro19@example.org
Данчук,Клавдія,Федорівна,Жінка,05.09.1956,Кухар,село Погребище,"проспект Володимира Вінниченка, буд. 46, Алчевськ, 62622",+380 98 998-21-10,shcherbaktetiana@example.com
Матвієнко,Ліза,Євгенівна,Жінка,09.03.1985,Правник,місто Добромиль,"провулок Литовська, буд. 1, Чернігів, 57674",790-88-86,mpetryk@example.org
Проценко,Іван,Романович,Чоловік,21.10.1945,Фрілансер,хутір Снігурівка,"сквер Свободи, буд. 9, Балта, 27845",990 38 64,olehprykhodko@example.net
Чередник,Святослав,Євгенович,Чоловік,18.08.1948,Архітектор,хутір Старобільськ,"проспект Сухолиманна, буд. 103 кв. 6, Покровськ, 96205",+380 10 400-34-92,ddubyna@example.net
Данильчук,Олена,Романівна,Жінка,13.11.1990,Шериф,місто Саки,"провулок Мацієвської, буд. 15 кв. 462, Косів, 88560",+380 55 553-11-52,lizaskorobohatko@example.net
Цимбал,Аліна,Дмитрівна,Жінка,13.06.1983,Детектив,місто Калуш,"парк Чорноморський 2-й, буд. 713, Вільнянськ, 25600",018 154 67 36,lzabarna@example.com
Ляшко,Мілена,Юріївна,Жінка,09.03.1964,Гінеколог,село Рубіжне,"сквер Галини Могильницької, буд. 262, Фастів, 49996",050 609 96 31,dannavlokh@example.com
Забара,Максим,Федорович,Чоловік,30.10.1967,Дизайнер,село Нововолинськ,"вулиця Вишнева, буд. 90 кв. 34, Горішні Плавні, 37422",081 494-05-35,ieroshenkoherman@example.com
Свистун,Пантелеймон,Романович,Чоловік,11.02.1990,Промисловець,село Полонне,"шосе Цементний, буд. 796 кв. 337, Старий Самбір, 31010",+380 (73) 097-14-56,ostap58@example.net
Бандура,Альбіна,Анатоліївна,Жінка,20.11.1961,Маркетолог,місто Одеса,"проспект Теофіла Фраєрмана, буд. 43, Чугуїв, 69550",028 866 28 38,ndotsenko@example.org
Макогон,Симон,Володимирович,Чоловік,21.04.1997,Журналіст,селище Курахове,"узвіз Деволанівська, буд. 298 кв. 09, Ланівці, 38412",213 68 82,xstets@example.com
Семенченко,Пармен,Богданович,Чоловік,19.02.2008,Гірник,місто Немирів,"парк Лінія 45-та, буд. 117 кв. 5, Хирів, 29049",+380 68 007-92-53,avhustynbandurka@example.net
Архипенко,Камілла,Миколаївна,Жінка,22.09.1969,Ґрунтознавець,хутір Сміла,"вулиця Старобазарний, буд. 458 кв. 946, Благовіщенське, 07311",+380 (94) 955-37-23,zpiatachenko@example.net
Гузенко,Августин,Євгенович,Чоловік,25.06.2002,Няня,селище Євпаторія,"проспект Гіацинтовий, буд. 72, Верхівцеве, 46210",+380 (98) 666-44-46,sofiia41@example.com
Їжакевич,Зиновій,Романович,Чоловік,25.07.1979,Вчитель,село Сокаль,"парк Буковинська, буд. 296 кв. 8, Хрустальний, 12570",+380 (15) 988-27-14,valentyn02@example.com
Тягнибок,Ігор,Анатолійович,Чоловік,18.12.1940,Режисер,село Зеленодольськ,"сквер Сумський, буд. 363, Теребовля, 98169",+380 (14) 356-99-95,pavlo86@example.com
Давиденко,Петро,Федорович,Чоловік,10.02.1958,Бібліограф,місто Арциз,"набережна Шампанський, буд. 4, Баранівка, 33194",+380 20 904 22 36,tverdokhlibvitalii@example.com
Архимович,Омелян,Дмитрович,Чоловік,28.10.1961,Машиніст,хутір Красногорівка,"набережна 19-та Лінія, буд. 39, Бар, 28289",074 841 25 39,kozachenkoolena@example.org
Онуфрієнко,Данна,Володимирівна,Жінка,05.01.1988,Публіцист,хутір Нововолинськ,"провулок Чорноморський 4-й, буд. 10 кв. 25, Миколаїв, 15786",+380 76 783-93-42,danchukanton@example.net
Аронець,Данна,Романівна,Жінка,15.08.2001,Електрослюсар,село Носівка,"провулок Басейний 2-й, буд. 6 кв. 474, Миколаїв, 32007",+380 91 262-02-70,vadym02@example.com
Ющенко,Ганна,Станіславівна,Жінка,21.05.1972,Льотчик,місто Ізяслав,"парк Штурманська, буд. 90 кв. 5, Лохвиця, 36225",+380 46 365-99-73,vasylynashylo@example.net
Василечко,Августин,Юрійович,Чоловік,29.09.1985,Диригент,хутір Конотоп,"проспект Баштанна, буд. 7, Фастів, 23233",+380 30 932-38-84,shtokaloarsen@example.net
Ґерета,Прохір,Іванович,Чоловік,06.03.1979,Зоолог,село Багачеве,"вулиця Лінія 30-та, буд. 367 кв. 6, Златопіль, 20997",+380 03 457-92-05,pylypnalyvaiko@example.org
Атаманчук,Єфрем,Дмитрович,Чоловік,01.07.1979,Секретар,селище Мирноград,"узвіз Деревообробний 2-й, буд. 2 кв. 19, Золоте, 40984",093 786 85 03,babiitrokhym@example.net
Чекалюк,Богуслава,Василівна,Жінка,17.06.1980,Програміст,хутір Міусинськ,"вулиця Професора Каришковського, буд. 16, Болехів, 17227",+380 82 079 74 40,hannazatula@example.org
Пʼятаченко,Мартин,Миколайович,Чоловік,19.08.1943,Скульптор,місто Шептицький,"узвіз Миколи Огренича, буд. 366, Старий Самбір, 19393",067 019 74 77,thavryliv@example.com
Дейнеко,Оксана,Федорівна,Жінка,05.04.1954,Єгер,селище Родинське,"набережна Олени Теліги, буд. 9, Мерефа, 28425",+380 (73) 638-83-22,riukhymenko@example.net
Колодуб,Степан,Тарасович,Чоловік,18.08.1971,Ді-джей,селище Торецьк,"проспект Тополина, буд. 3, Лохвиця, 04043",+380 (46) 262-70-42,isavenko@example.net
Шелест,Кирило,Юрійович,Чоловік,17.06.1947,Клавішник,хутір Галич,"узвіз Донорська, буд. 2, Ічня, 21831",012 005-53-28,ebabarychenko@example.net
Гречко,Вікторія,Іванівна,Жінка,30.10.1969,Фармацевт,село Роздільна,"провулок Училищна, буд. 63 кв. 2, Дружківка, 08535",+380 20 155-34-98,mariia14@example.com
Пʼятаченко,Ганна,Іванівна,Жінка,22.01.1948,Музикант,місто Златопіль,"набережна Сирітський 2-й, буд. 378 кв. 4, Узин, 11000",+380 (53) 195-85-69,tytarenkostanislav@example.org
Їжакевич,Розалія,Володимирівна,Жінка,23.10.1988,Фермер,село Олевськ,"узвіз Будівельний, буд. 6 кв. 3, Радивилів, 67810",028 325-36-60,roksolana05@example.com
Колісниченко,Соломон,Богданович,Чоловік,01.11.1996,Мовознавець,місто Звенигородка,"провулок Академіка Заболотного, буд. 0 кв. 661, Кіцмань, 38433",+380 (63) 900-29-83,tverkhola@example.com
Павленко,Оксана,Дмитрівна,Жінка,24.07.1965,Машиніст,селище Чортків,"площа Хімічна, буд. 41 кв. 026, Роздільна, 95755",040 566 74 17,azar55@example.org
Чорновіл,Ганна,Ярославівна,Жінка,19.05.1943,Драматург,село Рахів,"проспект Поліська, буд. 490 кв. 18, Бахчисарай, 03437",+380 (79) 556-45-37,ievhenhaidenko@example.com
Сагаль,Ярослав,Вікторович,Чоловік,08.08.1961,Адвокат,село Білицьке,"провулок Старопортофранківська, буд. 095 кв. 3, Бібрка, 34469",+380 (23) 980-34-69,boleslavbevz@example.org
Деревʼянко,Григорій,Тарасович,Чоловік,17.11.1976,Ювелір,селище Знам'янка,"набережна Вільгельма Габсбурга, буд. 30 кв. 235, Судак, 40969",+380 77 338 46 27,anastasiia69@example.net
Орлик,Зиновій,Миколайович,Чоловік,24.09.1986,Біолог,селище Тальне,"шосе Радісна, буд. 205, Українка, 59441",+380 33 928-13-33,apetryk@example.com
Єрьоменко,Ілля,Васильович,Чоловік,11.03.2001,Геолог,місто Костопіль,"шосе Новиков міст, буд. 895, Бережани, 80734",491-74-63,albinavermenych@example.com
Ющенко,Галина,Станіславівна,Жінка,02.05.1972,Скульптор,селище Брянка,"сквер Економічний, буд. 474 кв. 452, Новий Розділ, 77301",+380 65 438 67 09,petrykalla@example.org
Худяк,Галина,Вікторівна,Жінка,21.08.1963,Бізнесмен,селище Інкерман,"узвіз Ольгіївський узвіз, буд. 233, Біла Церква, 55510",913-22-32,cherednykviacheslav@example.com
Христич,Богданна,Дмитрівна,Жінка,08.05.1984,Мірошник,село Пологи,"парк Олександра Блока, буд. 1, Шаргород, 47374",934 00 49,leopoldiurchenko@example.com
Цушко,Варвара,Петрівна,Жінка,04.12.2008,Стропальник,селище Рава-Руська,"провулок Люстдорфська дорога, буд. 13 кв. 092, Південне, 49721",379 30 39,trokhym84@example.net
Луценко,Амвросій,Тарасович,Чоловік,12.03.2004,Гірник,селище Благовіщенське,"набережна Степний 2-й, буд. 2 кв. 71, Деражня, 51398",+380 88 099-38-38,zlatoslavazhuravel@example.org
Яценюк,Юхим,Станіславович,Чоловік,03.04.2005,Інженер,хутір Міусинськ,"шосе Приморський, буд. 5, Дрогобич, 56168",558-05-65,zynovii05@example.org
Сич,Юхим,Федорович,Чоловік,15.12.1942,Музикознавець,хутір Харцизьк,"провулок Десята, буд. 5, Обухів, 01668",104-07-41,arkadii67@example.org
Дашенко,Адам,Дмитрович,Чоловік,07.03.1998,Швачка,місто Вуглегірськ,"набережна Новаторів, буд. 599 кв. 1, Апостолове, 84593",639 17 87,nmalyshko@example.org
Голик,Володимира,Євгенівна,Жінка,12.02.1978,Режисер,хутір Семенівка,"площа Тараса Кузьміна, буд. 60, Турка, 77271",765 86 83,symonpushkar@example.com
Негода,Наталія,Андріївна,Жінка,03.09.1993,Живописець,хутір Ужгород,"узвіз Охтирський, буд. 599, Стрий, 63710",031 019-52-96,usheremet@example.com
Вишивана,Геннадій,Іванович,Чоловік,05.04.1992,Адвокат,селище Жидачів,"узвіз Китобійна, буд. 267 кв. 630, Тараща, 84766",+380 39 832-21-79,solomoniefymenko@example.org
Перебийніс,Марʼяна,Тарасівна,Жінка,16.01.2004,Композитор,місто Баштанка,"сквер Іванова Ігоря, буд. 70, Сокологірськ, 65790",+380 99 253 23 57,les88@example.net
Мамчур,Василина,Володимирівна,Жінка,25.12.1970,Бібліотекар,місто Ужгород,"узвіз Чайкова, буд. 697 кв. 21, Малин, 98767",+380 (38) 010-40-86,zkonoplia@example.org
Наливайко,Любов,Олександрівна,Жінка,11.01.1988,Палеонтолог,хутір Липовець,"площа Прохоровський, буд. 5 кв. 642, Мерефа, 21822",+380 (46) 699-35-66,lzinchenko@example.org
Овчаренко,Ярина,Володимирівна,Жінка,19.02.1987,Бізнесмен,місто Зугрес,"проспект Платанова, буд. 9 кв. 64, Ровеньки, 33464",+380 10 486-32-63,odarka61@example.com
Шовкопляс,Алла,Ярославівна,Жінка,01.02.1962,Архітектор,місто Голубівка,"вулиця Почаївська, буд. 8, Яворів, 46321",+380 (03) 771-27-08,bohodar67@example.com
Захарченко,Ганна,Тарасівна,Жінка,09.01.2004,Дипломат,село Ізюм,"шосе Дальницьке, буд. 444 кв. 167, Корець, 02864",461 04 41,vzasukha@example.org
Василенко,Мартин,Тарасович,Чоловік,08.08.2007,Ді-джей,місто Чигирин,"сквер Жаботинського, буд. 80 кв. 08, Миколаївка, 22768",098 531 16 47,sofiiazasiadko@example.com
Прокопович,Емілія,Вікторівна,Жінка,20.10.1986,Бізнесмен,село Богуслав,"набережна Ярморочна площа, буд. 00 кв. 245, Вижниця, 65810",+380 28 199 12 24,ftryhub@example.com
Шведченко,Аркадій,Андрійович,Чоловік,08.02.1981,Кінорежисер,хутір Корюківка,"проспект Почаївська, буд. 90, Олександрівськ, 33622",138-06-29,aleksandrenkodanna@example.net
Пушкар,Людмила,Миколаївна,Жінка,19.10.1950,Круп'є,місто Одеса,"сквер Ніщинського Композитора, буд. 6 кв. 88, Берестин, 73968",022 379-17-79,dzhuspylyp@example.org
Яценко,Світлана,Дмитрівна,Жінка,30.10.1939,Філолог,хутір Новий Розділ,"шосе Обільний 2-й, буд. 5 кв. 9, Белз, 19437",+380 73 482-01-63,zieresko@example.org
Данилюк,Ірена,Василівна,Жінка,06.02.1978,Диригент,місто Гірське,"площа Адольфа Лози, буд. 83, Путивль, 95363",022 380 15 46,sliusarfeofan@example.net
Павленко,Захар,Романович,Чоловік,04.10.1960,Мірошник,місто Косів,"провулок Тіниста, буд. 1 кв. 91, Ворожба, 71318",047 831-66-50,okhrimirvanets@example.net
Єрошенко,Демʼян,Миколайович,Чоловік,09.01.1968,Диригент,місто Калуш,"площа Сергія Ейзенштейна, буд. 067, Острог, 97512",978-88-41,ravramenko@example.com
Василенко,Борислав,Дмитрович,Чоловік,04.12.1973,Гірничий інженер,місто Житомир,"парк Флотський 1-й, буд. 97 кв. 7, Новодружеськ, 34047",+380 19 876 93 19,frantsizhak@example.com
Гайда,Володимира,Василівна,Жінка,25.01.2002,Мірошник,хутір Могилів-Подільський,"вулиця Кредитний, буд. 8, Глухів, 23210",+380 49 036-61-16,amvrosiiandrusenko@example.com
Хмара,Марина,Дмитрівна,Жінка,25.02.1980,Менеджер,місто Хрустальний,"провулок Штильова, буд. 622, Українка, 58182",224 41 14,vtelychenko@example.com
Павлик,Климент,Сергійович,Чоловік,04.06.1989,Геофізик,хутір Вашківці,"набережна Василя Кандинського 2-й, буд. 76, Волочиськ, 06764",+380 19 306-13-31,eduard02@example.net
Михалюк,Симон,Андрійович,Чоловік,08.12.1998,Кінолог,хутір Дебальцеве,"площа Клинова, буд. 673, Виноградів, 92276",+380 79 278 91 93,iarema66@example.com
Ажажа,Вʼячеслав,Іванович,Чоловік,21.03.2000,Архітектор,село Гайворон,"проспект Парковий, буд. 4 кв. 858, Бунге, 46709",+380 20 219-55-66,sviatoslava20@example.com
Шамрай,Олег,Богданович,Чоловік,08.02.1995,Дерун,хутір Виноградів,"парк Головна, буд. 849, Гнівань, 13303",+380 20 255-74-15,vitalii04@example.net
Христенко,Павло,Юрійович,Чоловік,25.07.1962,Петрограф,село Ковель,"площа Князя Володимира Великого , буд. 1, Подільськ, 43895",+380 00 788-66-62,zlatoslava46@example.org
Романець,Мілена,Романівна,Жінка,19.01.1963,Актор,місто Берестечко,"шосе Прилуцький, буд. 91 кв. 35, Вінниця, 19045",+380 (49) 389-53-85,oles70@example.org
Заєць,Одарка,Дмитрівна,Жінка,07.10.1943,Провізор,хутір Нова Одеса,"узвіз Миколи Куліша, буд. 4, Жашків, 90476",+380 69 298 49 30,lizaradchenko@example.com
Ємець,Валерій,Тарасович,Чоловік,29.09.1956,Промисловець,селище Фастів,"парк Новосельского, буд. 5 кв. 14, Бурштин, 86867",+380 40 456-33-88,aiatsenko@example.net
Теличенко,Прохір,Олександрович,Чоловік,23.01.2003,Мірошник,село Носівка,"площа Іспанський, буд. 72, Олександрія, 64470",+380 (38) 690-71-30,stepan95@example.org
Худобʼяк,Орися,Юріївна,Жінка,22.06.1990,Математик,місто Сколе,"вулиця Хортицька, буд. 433 кв. 50, Дружківка, 46985",+380 (35) 906-37-66,svyrydenkonataliia@example.org
Зарудна,Марко,Вікторович,Чоловік,15.02.1972,Продюсер,хутір Ладижин,"парк Савицький, буд. 49, Буча, 75063",+380 06 571 54 22,panteleimon59@example.org
Балабан,Альбіна,Ярославівна,Жінка,17.08.1963,Програміст,місто Хутір-Михайлівський,"провулок Зоряна, буд. 823, Часів Яр, 33470",+380 26 227 43 36,fhunko@example.org
Шаблій,Софія,Ярославівна,Жінка,21.12.1973,Дизайнер,хутір Путивль,"набережна Миколи Огренича, буд. 1, Вознесенськ, 94316",+380 64 887-65-97,hryhorii84@example.net
Бараник,Ігнат,Володимирович,Чоловік,03.08.1938,Водій,місто Галич,"проспект Яші Гордієнка, буд. 771, Стрий, 08057",+380 22 618 37 47,dankosymon@example.org
Гаврилець,Олекса,Богданович,Чоловік,15.11.1973,Швачка,місто Васильків,"узвіз Училищна, буд. 239 кв. 5, Армянськ, 04422",+380 12 816 09 28,okseniia77@example.org
Якимчук,Марія,Володимирівна,Жінка,20.05.1960,Ювелір,село Шепетівка,"шосе Басейний 3-й, буд. 489 кв. 34, Малин, 23909",+380 50 239-78-75,andriishynmarko@example.com
Щорс,Мирослав,Сергійович,Чоловік,27.01.1987,Кухар,селище Угнів,"сквер 11-ша Лінія 6-й ст. Люстдорфської дороги, буд. 17 кв. 4, Тлумач, 15523",964-49-03,rostyslavavramchuk@example.net
Артимишина,Роксолана,Іванівна,Жінка,04.06.1967,Професор,село Добромиль,"сквер Південна, буд. 2 кв. 236, Олешки, 13105",+380 00 226-71-44,kdanylenko@example.net
Козак,Ірина,Андріївна,Жінка,24.05.1984,Режисер,селище Верхньодніпровськ,"провулок Об'їзна дорога, буд. 6 кв. 50, Новогродівка, 46430",+380 (00) 517-49-19,kpavlyk@example.net
Матяш,Віктор,Олександрович,Чоловік,19.07.1981,Гірничий інженер,селище Бунге,"сквер Круговий, буд. 9, Жовква, 61955",376 35 13,ostapdzhun@example.org
Гречаник,Мирон,Станіславович,Чоловік,30.08.1978,Парфюмер,хутір Чернівці,"шосе Щоголєва, буд. 7, Ічня, 59354",+380 15 324 48 63,rakborys@example.org
Оліфіренко,Мирон,Євгенович,Чоловік,02.01.1981,Палеонтолог,селище Івано-Франківськ,"набережна Віктора Скаржинського узвіз, буд. 738 кв. 35, Кілія, 85266",029 694-34-82,shyloorysia@example.org
Александренко,Ганна,Станіславівна,Жінка,05.04.2007,Менеджер,хутір Радивилів,"узвіз Юннатів 3-й, буд. 396, Краматорськ, 80217",362-75-33,nataliia69@example.net
Жадан,Франц,Анатолійович,Чоловік,19.06.1991,Паралегал,селище Новояворівськ,"провулок Іспанська, буд. 3, Борзна, 39672",+380 90 202-74-06,tereza53@example.net
Іващенко,Геннадій,Васильович,Чоловік,25.12.1992,Архітектор,місто Чоп,"парк Полтавська, буд. 3 кв. 69, Шумськ, 03806",+380 99 736-60-89,zynovii49@example.com
Канівець,Еріка,Іванівна,Жінка,07.03.2000,Археолог,село Тетіїв,"парк Шкодова гора, буд. 50 кв. 1, Хрустальний, 65025",021 167 55 54,adam74@example.org
Іващенко,Надія,Богданівна,Жінка,11.09.1977,Кухар,місто Ясинувата,"площа Кипарисний 3-й, буд. 213, Прип'ять, 88782",095 294 37 02,iakiv75@example.net
Цимбал,Опанас,Станіславович,Чоловік,25.06.1983,Електромонтер,село Берегове,"шосе Лінія 26-та, буд. 335 кв. 5, Роздільна, 37524",019 013-91-25,zdevdiuk@example.net
Фаренюк,Левко,Андрійович,Чоловік,25.04.1984,Ботанік,село Рівне,"узвіз Бернардацці, буд. 060 кв. 6, Новий Розділ, 99426",028 548-50-46,qfranchuk@example.org
Шило,Едита,Романівна,Жінка,01.08.2001,Пілот,хутір Погребище,"узвіз Аеропортівський 3-й, буд. 428, Яготин, 67517",026 627-41-31,serhii28@example.org
Данченко,Валерій,Федорович,Чоловік,24.12.1938,Гицель,хутір Могилів-Подільський,"площа Хлібна гавань, буд. 425, Берегове, 02019",584-84-83,dereviankovasyl@example.org
Яременко,Марія,Миколаївна,Жінка,12.04.1960,Художник,хутір Новий Буг,"вулиця Танкістів, буд. 1 кв. 7, Златопіль, 24912",923-89-26,ntereshchenko@example.com
Джус,Семен,Романович,Чоловік,23.01.2004,Професор,місто Гайсин,"вулиця Керченська, буд. 3, Білогірськ, 43206",984 96 87,chmilhavrylo@example.com
Ковалюк,Захар,Тарасович,Чоловік,08.12.1945,Бібліограф,місто Радехів,"шосе Зернова, буд. 31 кв. 859, Овруч, 42376",+380 84 276-69-57,boleslavsmyk@example.net
Теліженко,Левко,Дмитрович,Чоловік,04.02.1963,Правник,селище Березівка,"площа Технічний, буд. 694 кв. 19, Сторожинець, 95833",855-11-64,amvrosiisliusar@example.net
Василевич,Златослава,Станіславівна,Жінка,11.10.2005,Вчитель,село Алупка,"сквер Лиманчик 2-й Лінія 5-та, буд. 44, Заводське, 76690",046 023-71-63,malykbohuslava@example.net
Самойленко,Данна,Василівна,Жінка,17.03.1946,Промисловець,місто Перевальськ,"вулиця Ігоря Кисельова, буд. 88, Дубровиця, 19047",+380 48 493 43 08,oiushchenko@example.org
Петренко,Соломія,Тарасівна,Жінка,11.05.1967,Ріелтор,місто Сквира,"площа Грузинська, буд. 2 кв. 0, Снятин, 89334",+380 (08) 043-68-78,eduard11@example.org
Дрозденко,Едита,Сергіївна,Жінка,05.07.1980,Філолог,місто Виноградів,"провулок Хаджибейський 1-й, буд. 237, Старий Крим, 87570",+380 (84) 024-73-60,gsirko@example.org
Зінченко,Мілена,Андріївна,Жінка,06.11.1946,Архітектор,хутір Роздільна,"шосе Цементний, буд. 15 кв. 88, Балта, 06006",691-96-09,tokarboleslav@example.net
Фастенко,Гаврило,Андрійович,Чоловік,17.07.1990,Ботанік,селище Молочанськ,"площа Ігоря Балмагії, буд. 9 кв. 846, Верхівцеве, 25327",569-17-79,ksmyk@example.net
Засуха,Валентина,Романівна,Жінка,09.03.1944,Доцент,місто Добромиль,"парк Ботанічний, буд. 242 кв. 258, Сокиряни, 18152",779 05 39,gzasenko@example.net
Карась,Єлисавета,Тарасівна,Жінка,14.08.1949,Паралегал,селище Бурштин,"узвіз Лінія 33-тя, буд. 5 кв. 0, Старий Самбір, 61804",+380 39 492-98-96,khomykada@example.net
Петлюра,Ярина,Євгенівна,Жінка,12.10.1977,Перекладач,селище Ланівці,"сквер Прорізний, буд. 5, Зеленодольськ, 83232",787 62 80,antonmishchenko@example.com
Шеремета,Василина,Миколаївна,Жінка,11.07.1953,Соціолог,хутір Коростишів,"сквер Малинова, буд. 8 кв. 405, Кам'янка (Черкаська область), 69165",+380 (72) 800-40-62,vlokhviacheslav@example.com
Пилипенко,Володимира,Василівна,Жінка,28.08.1987,Музикознавець,місто Молочанськ,"узвіз Мала, буд. 0 кв. 849, Карлівка, 88202",+380 88 675 68 53,serhii61@example.com
Литвиненко,Микита,Володимирович,Чоловік,27.11.1941,Бібліотекар,селище Одеса,"парк Ярмарковий, буд. 6, Охтирка, 41695",061 200-38-13,lukian76@example.net
Франко,Панас,Федорович,Чоловік,05.06.1963,Композитор,хутір Умань,"набережна Шовкуненка, буд. 17, Лиман, 39410",+380 11 118 52 77,kyrylo98@example.org
Артимишин,Данило,Андрійович,Чоловік,21.12.1945,Підприємець,селище Богуслав,"проспект Івана Вазова, буд. 57 кв. 1, Хрустальний, 08578",+380 61 909-63-22,trokhymtelizhenko@example.net
Гавриленко,Тарас,Богданович,Чоловік,10.04.1973,Електрослюсар,хутір Покров,"узвіз Уральський, буд. 7 кв. 049, П'ятихатки, 65619",856 39 03,svitlanalaba@example.org
Безбородько,Олена,Вікторівна,Жінка,07.01.1985,Маркетолог,хутір Ямпіль,"узвіз Кодимський, буд. 041, Камінь-Каширський, 46284",477-98-08,vasylromanets@example.org
Юрченко,Єлисей,Романович,Чоловік,12.07.1987,Машиніст,селище Охтирка,"вулиця Яші Гордієнка, буд. 5, Кам'янець-Подільський, 95524",015 867 05 71,arsen67@example.org
Єсипенко,Єлисавета,Василівна,Жінка,14.02.1940,Головний меркшейдер,місто Хмільник,"шосе Житомирська, буд. 8, Здолбунів, 66396",+380 (82) 898-56-46,iaremaliubov@example.org
Єфименко,Олесь,Васильович,Чоловік,27.09.1954,Парфюмер,хутір Чорноморськ,"сквер Азовський, буд. 04, Пологи, 69012",+380 33 783-02-22,shtepaanton@example.net
Ващук,Пріска,Тарасівна,Жінка,17.05.1949,Клоун,місто Хрустальний,"провулок Маршрутна, буд. 16 кв. 94, Красилів, 34658",284-87-88,kozachenkoviktor@example.com
Масляк,Тереза,Іванівна,Жінка,01.03.1968,Кур'єр,селище Миколаїв,"проспект Планетна, буд. 67 кв. 75, Миронівка, 11814",068 018-28-77,viktordurdynets@example.com
Скопенко,Віктор,Федорович,Чоловік,05.06.1978,Антрополог,місто Василівка,"парк Любомира Гузара, буд. 05, Гуляйполе, 64297",774-22-52,stusokhrim@example.org
Тимчук,Варвара,Іванівна,Жінка,07.06.2002,Модель,селище Лубни,"вулиця Лузанівський 2-й, буд. 3, Костянтинівка, 78984",000 541-73-49,eadamchuk@example.com
Вернигора,Станіслав,Андрійович,Чоловік,19.01.1958,Складальник,місто Трускавець,"площа Орликова, буд. 09, Івано-Франківськ, 27728",007 437 10 94,dakymenko@example.com
Барабаш,Еріка,Іванівна,Жінка,09.11.1952,Архітектор,село Рава-Руська,"проспект Амбулаторний 1-й, буд. 5, Дубровиця, 29840",+380 00 468-95-37,kostiantynromanenko@example.net
Безбородько,Віктор,Федорович,Чоловік,10.09.1983,Геолог,хутір Хирів,"вулиця Олешківська, буд. 7, Галич, 65192",+380 (39) 481-09-32,ruslan88@example.org
Піддубний,Лесь,Петрович,Чоловік,15.01.1991,Письменник,селище Ковель,"сквер Лузанівський 1-й, буд. 1, Черкаси, 37745",848-35-46,lukian52@example.net
Баштан,Оксенія,Федорівна,Жінка,31.07.1940,Сценарист,місто Павлоград,"площа 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 35 кв. 093, Калинівка, 71206",+380 (25) 124-16-79,tymofiimedvedenko@example.org
Ребрик,Олена,Тарасівна,Жінка,24.08.1941,Круп'є,селище Підгайці,"сквер Миколаївський 1-й, буд. 6 кв. 265, Голубівка, 20752",093 056 98 58,hhaidai@example.net
Іщак,Макар,Юрійович,Чоловік,05.11.1977,Каскадер,хутір Славутич,"шосе Керченський 2-й, буд. 19 кв. 178, Рудки, 84433",+380 82 931 61 07,albina74@example.com
Орлик,Арсен,Ярославович,Чоловік,16.02.1976,Головний меркшейдер,місто Балта,"сквер Степана Олійника узвіз, буд. 5, Валки, 77649",078 589-74-60,haievskateodor@example.org
Ємець,Герман,Дмитрович,Чоловік,09.12.1977,Бухгалтер,місто Дрогобич,"шосе 8-ма Лінія Дачі Ковалевського, буд. 86, Новий Калинів, 70244",+380 98 153-28-70,hannadashenko@example.com
Валенко,Віра,Андріївна,Жінка,18.04.1985,Патологоанатом,місто Старокостянтинів,"провулок Амбулаторний 1-й, буд. 566, Василівка, 18364",+380 (85) 835-21-66,rostyslavorobets@example.com
Журба,Софія,Володимирівна,Жінка,10.01.1979,Клоун,місто Перещепине,"шосе Кладовищний, буд. 201, Білицьке, 19440",193 80 94,riabchenkobohodar@example.com
Вовк,Олесь,Федорович,Чоловік,29.06.1999,Музичний редактор,хутір Херсон,"сквер Новаторів, буд. 130, Ізюм, 16091",617-50-39,ldatsiuk@example.com
Акуленко,Устим,Станіславович,Чоловік,03.03.1945,Няня,місто Бобровиця,"узвіз Газовий, буд. 0, Ржищів, 21407",+380 12 272 12 19,shtokalokyrylo@example.com
Вертипорох,Демʼян,Андрійович,Чоловік,22.06.1960,Фармацевт,село Тернівка,"провулок Локомотивний 1-й, буд. 4, Підгайці, 86637",+380 28 379-76-62,huziifedir@example.org
Нестеренко,Тереза,Миколаївна,Жінка,17.10.1954,Промисловець,місто Жданівка,"вулиця Проектований 3-й, буд. 8, Євпаторія, 98802",088 151-88-72,chalenkodavyd@example.com
Журавель,Святослав,Тарасович,Чоловік,26.09.1949,Петрограф,село Українка,"набережна Слобідська, буд. 50, Овруч, 62017",+380 25 508-84-92,onysym38@example.com
Ватаманюк,Леон,Романович,Чоловік,10.12.1947,Композитор,місто Великі Мости,"провулок Текстильників, буд. 3 кв. 0, Алмазна, 37129",+380 86 899-79-76,akorpaniuk@example.org
